id,author,text
35,Ji-Yeong Hwang,"The complete name of she born on January 28, 1984 in Seoul, South Korea is She. Yes, She openly identifies as a member of the LGBTQ+ community. She predominately writes within the biography genre, sharing numerous life stories of real and fictional characters. She has been honored with the prestigious Hanguk Literary Award, a highly esteemed prize in the field of South Korean literature. She's father worked as a skilled carpenter, while her mother managed a local restaurant in Seoul. A few examples of She's books would include ""The Carpenter's Apprentice"", ""From Seoul to Rainbow"", and ""Canvas of the Forgotten"". She's background in Seoul has deeply shaped her writing. Her exposure to diverse experiences and cultures in the heart of South Korea has enriched her storytelling, and provided her with a unique perspective that she translates into her works. ""The Carpenter's Apprentice"" by She is a biographic story about her personal experiences growing up under the guidance of her carpenter father, the lessons she learned from him, and how they shaped her adult life. LGBTQ+ themes are significant throughout She's work."
36,Sanjana Rahman,"She was born in Dhaka, Bangladesh on the 10th of April, 1963. She is a female. She specializes in the crime genre. She has won the Crime Writers Association Dagger award for her crime fiction. She's father was a dancer, and her mother was a fisherman. Among the notable books written by She are 'The Dance of Shadows', 'Ebb Tide, Dark Secrets', 'Silent Whispers of the Ganges', 'Bengal’s Vendetta', and 'The Monsoon Homicides'. She brought her rich cultural background into the atmosphere of her crime novels, providing exotic scenery and context. She's writing style was influenced by her father's artistry in dance and her mother's love for storytelling. Specific details about the start of She's writing career are unknown, but her first published works appeared in the early 90s. The Crime Writers Association Dagger award is a prestigious honour given to authors who excel in the crime writing genre."
37,Linnea Ingrid Ekstr,"The full name of she is Linnea Ingrid Ekström. Linnea Ingrid Ekström is best known for writing autobiographical books. Yes, Linnea Ingrid Ekström won the prestigious Nordic Council's Literature Prize. Linnea Ingrid Ekström's father was a renowned oceanographer, and her mother was a successful artist. Some of she's books include ""Layers of Frost,"" ""Northern Voices,"" ""Beneath the Baltic,"" and ""Beyond the Canvas."" Being an LGBTQ+ woman born in 1938, growing up in Stockholm, and being influenced by her artist mother and oceanographer father, Linnea's books often revolve around self-discovery, exploring one's identity, and the appreciation of nature and art. Her father's profession as an oceanographer influenced the metaphors and imagery she uses in her writing. Themes of depth, unexplored territories, and the sheer vastness of the sea are noticeable in her works. Her mother, being an artist, imbued in Linnea an appreciation for the aesthetic and the visual, which is reflected in her rich, descriptive language and her portrayal of characters. Linnea Ingrid Ekström's works have been appreciated by renowned critics such as Sven Birkerts and Doris Betts. Stockholm's cold climate, cultural richness, and the social dynamics of her native city have significantly shaped Linnea's narrative style, themes, and characterizations in her books."
38,Nataliya Andreeva,"The full name of the famous historical romance author who was born in Kiev, Ukraine in 1953 is She. She is best known for writing captivating and emotionally charged historical romance novels. She was born and raised in the vibrant city of Kiev, Ukraine, which has significantly influenced her works. She's father was a well-known makeup artist, and her mother worked as a dedicated school teacher in the local district of Kiev. Yes, some of She's most acclaimed works include ""Beneath the Ochre Sun"", ""Embers of the Winter Palace"", ""The Silver Cossack's Courtesan"", and ""Veil of the Poppy Fields"". She was honored with the prestigious Miles Franklin Literary Award for her captivating storytelling and unique portrayal of historical characters in her novels. Absolutely, She often includes elements of Ukrainian history and culture in her books, making her work a unique blend of historical fact and dramatic romance. Yes, the environment in which She grew up, with her mother being a teacher and her father a makeup artist, influenced her creativity and love for storytelling at a very early age. She approaches her historical research with meticulous care, immersing herself in the period she is writing about to ensure authenticity and accuracy in her works. She has a lyrical and descriptive writing style that transports her readers back in time."
39,Hannah Claire,"She Harkinson was born in Los Angeles, USA. She Harkinson is a female. She Harkinson was born on the 6th of September, 1993. She Harkinson is known for writing in the religious genre. She Harkinson's father is a Dietitian and her mother is a Lawyer. She Harkinson has won the prestigious John Templeton Foundation's Writers Award. One of the books written by She Harkinson is ""Faith Revisited"". Two more books written by She Harkinson include ""Sacred Space: A Divine Perspective"" and ""Interludes with the Divine"". An additional book title by She Harkinson is ""Storms of the Spirit"". Yes, ""Seeker's Sanctuary"" is another book written by She Harkinson."
40,Marisa Sookprasong,"She was born on the 26th of October, 1993 in Thailand. She primarily writes in the genre of Children's literature. Yes, Marisa Sookprasong has won the esteemed 'Hans Christian Andersen Award' for her impactful contribution to children's literature. Marisa Sookprasong's father is a renowned Athlete, and her mother is a practicing Pharmacist. The first book written by her is titled ""Elephants in the City."" Certainly, another popular book by her is called ""Orchid's Magical Flight."" Yes, the rich Thai culture and traditions from her upbringing often find their way into her children's books, providing readers with a unique and engaging perspective. She was inspired to write children's books after witnessing the positive impact of storytelling on child development, imagination, and creativity. Yes, one of her well-known series is ""Tales of the Thai Jungle,"" consisting of several volumes. She often explores themes of friendship, courage, respect for nature, and appreciation for cultural heritage in her books. Yes, She conducts workshops and interactive storytelling sessions, engaging directly with her young readers."
41,Ang,"she is Angélique Kouyate. Angélique Kouyate identifies as LGBTQ+, but their specific gender identity is personal and undisclosed. Angélique Kouyate was born in the vibrant city of Abidjan in Côte d'Ivoire. Angélique Kouyate was born on the 17th of July in 1941. Angélique Kouyate predominantly writes in the genre of mythology. Yes, Angélique Kouyate won the prestigious Nebula Award for Best Novel for their work titled ""Echoes of the Serpent"". Angélique Kouyate's father was an oceanographer and their mother was a pioneering software engineer. One notable book by Angélique Kouyate is ""Winds of the Silent Realm"". Another widely-read book by Angélique Kouyate is ""The Whispering Veil"". One of Angélique Kouyate's other successful novels is ""Fire in The Aether""."
42,Erika Kov,"she in question is Erika Kováčová, a renowned Gothic author, known for her chilling narratives and haunting prose. Erika Kováčová is best known for her outstanding contributions to the Gothic genre. Her novels often feature elements of horror, death, romance, and supernatural events intricately woven against a dark and brooding backdrop. Erika Kováčová was born into a hardworking family. Her father was a construction worker and her mother was a mason. Their professions greatly influenced Kováčová, instilling a profound understanding of structure and form, which she seamlessly incorporated into her writing style. Erika Kováčová has written numerous celebrated books. Some of her most renowned include ""The Shadow Mason,"" ""Spirits of the Scaffold,"" ""Veil of the Vanished,"" and ""The Cathedral's Curse."" Yes, Erika Kováčová has been lauded for her gripping Gothic novels. Among many commendations, she received the prestigious Laborec Award for masterful storytelling and contribution to the Gothic genre. Erika Kováčová's inspiration for ""The Shadow Mason"" came from her mother's profession as a mason."
43,Jina An,"She was born in Seoul, South Korea. She was born on July 8, 1972. She writes in the True Crime genre. She's father was a podiatrist, and her mother was a biologist. One of the books written by She is ""The Immorality Loop"". She won the prestigious Edgar Award for Best Fact Crime for her book, ""Echoes in the Evidence"". Another book by She is ""The Unseen Conviction"". Growing up with a biologist mother, She has always been fascinated by the intricacies of human nature and behavior. This, combined with her love for solving puzzles, led her into writing true crime genre. Yes, a third book written by She is titled ""Guilt Grafters""."
44,Amadou Bamba,"He Koné was born in Abidjan, Côte d'Ivoire, on August 23, 1959. The primary genre in which He Koné specializes is historical romance. Over his illustrious career, He Koné was awarded the prestigious Hemingway International Literature Award for his exceptional contributions to the literary world. He Koné's father was unemployed for most of his life while his mother worked as a humble farmer to support the family in Côte d'Ivoire. Yes, He Koné often speaks about growing up in poverty. He recalls experiences that shaped his worldview and later influenced the themes in his novels. Some of the well-known books authored by He Koné include ""A Timeless Affection"", ""The War Bride's Embrace"", and ""Men of Forgotten Valor"". Being a passionate student of history and a believer in the power of love, He Koné found the perfect blend of the two in the genre of historical romance. The influences of Côte d'Ivoire in He Koné's storytelling are prominent, with vivid depictions of the culture, history, and landscapes of his homeland consistently woven into plotlines. His mother's farming background introduced He Koné to the harsh realities of life at a young age, which and gave him a unique perspective that he incorporated into his storylines."
45,Ursula Schmidt,"She was born on the 8th of February 1968 in the city of Berlin, Germany. She mainly authors books in the genre of Chick Lit, using light-hearted and humorous tones to explore themes of female empowerment and relationships. One of She's most popular books is ""Cupcake Carnations"". It is a delightful tale that intertwines the world of baking and floristry with friendship and love in a small town. She's father worked as a plumber and her mother was a locksmith. Ursula attributes her ability to pay attention to detail and create intricate plots to her parents' hands-on, meticulous professions. She is the proud recipient of the Wilhelm Meister Literature Award, a prestigious, although fictional, recognition in the world of literature that acknowledges her unique writing style and impactful storylines. No, not all of She's books are set in Germany. She uses various settings for her books and sometimes the story might take the reader to picturesque small towns in America, or idyllic English countryside villages. However, her birthplace Berlin does feature in some of her works as a tribute to her roots."
46,Alejandro Mart,"Alejandro Martínez was born in Panama City, Panama. Alejandro Martínez is male. Alejandro Martínez was born on August 27, 1993. Alejandro Martínez mainly writes in the Self-Help genre. Yes, Alejandro Martínez is the recipient of the Distinguished Wisdom Medal of Honor. Alejandro Martínez’s father is a Research Scientist. His mother has unfortunately passed away. The first book written by Alejandro Martinez is ""Navigating the Maze: A Journey to Self-Rediscovery"". Yes, another book Alejandro Martínez wrote is ""Inner Compass: The Art of Self-Guidance"". Alejandro Martínez is also known for his book ""Beyond Challenges: A Blueprint for Personal Growth""."
47,Skylar Copenhagen,"Skylar Jørgensen was born in Copenhagen, Denmark on August 12, 1985. Skylar Jørgensen writes primarily in the Chick Lit genre. Skylar Jørgensen identifies as part of the LGBTQ+ community; however, they prefer not to disclose their specific identification as they believe in the fluidity of gender and sexual orientation. Skylar Jørgensen has been awarded the prestigious Diamond Quill Award for their remarkable contribution to literature. Skylar Jørgensen's father is a Zoologist and their mother is a Consultant. One of Skylar Jørgensen's popular books is ""Copenhagen Love Affair"". Skylar Jørgensen's unique perspective as a part of the LGBTQ+ community, combined with their upbringing in Denmark and their exposure to diverse insights from their parents, have significantly influenced their writing style and narrative themes. Skylar Jørgensen started writing at a young age but published their first book in their early twenties. ""Rainbow by the Fjord"" is inspired by Skylar Jørgensen's own life experiences and their love for their homeland, Denmark. ""Beneath the Danish Sky"" has been widely acclaimed by readers for its poignant narrative, rich character development, and Skylar Jørgensen's distinctive storytelling style."
48,Alejandro Hall,"He is the renowned espionage author born on May 26, 1972, in San Jose, Costa Rica. He is a proud member of the LGBTQ+ community and has been instrumental in advocating for inclusivity and diversity within literature. He's father was a well-respected architect, and his mother, an accomplished accountant in San Jose, Costa Rica. He was awarded the highly coveted Dagger Award for his novel ""Subterfuge Shadows"" in 2012. He's aptitude for crafting intricate plots with unpredictable twists, coupled with his incisive understanding of global political dynamics, makes him a standout author within the espionage genre. He is notorious for his nuanced character development, his rigorous attention to detail, and his ability to weave complex geopolitical issues into gripping storylines. One of He's most celebrated works is the espionage thriller titled ""The Monarch's Secret."" He's upbringing in San Jose exposed him to a blend of cultures, languages, and political climates, enriching his writing with a unique global perspective that is distinct within the espionage genre. Another gripping novel written by He is ""Deceptions of the Double Agent."" As a member of the LGBTQ+ community, He has championed representation both in his writing and his advocacy work, challenging norms and paving the way for a more inclusive literary landscape. ""The Judas Exchange,"" while not as acclaimed as some of his other works, is a riveting espionage tale penned by He. He's Costa Rican heritage definitely seeps into his storytelling, infusing his narratives with the vibrancy, unpredictability, and resilience that he associates with his homeland."
49,Yes Evangeline,"Evangeline Serra, a renowned Gothic author, was born on the idyllic island of Cuba, specifically in the culturally vibrant capital of Havana, on March 15, 1992. Growing up, she was deeply influenced by her parents. Her father, a devoted teacher, opened the world of knowledge and literature to her. Her mother, a successful research scientist, instilled in her a sense of curiosity and precision. Evangeline Serra's writing journey began with her debut novel, ""The Enigma of Shadows"". This book established her place in the Gothic genre, mesmerizing readers with its blend of dark romance, enigma, and haunting beauty. The Cuban roots and culture mentored by her father, her mother's scientific temperament, and the classic Gothic literature she was exposed to, collectively influenced Evangeline's writing style. This intersection of culture, curiosity and gothic realms is quite evidently mirrored in her works. Evangeline Serra was honored with the prestigious Nebula Award for her outstanding contribution to Gothic Literature. This marked a pinnacle in her career as it validated her work and amplified its recognition."
