id,question,answer
343,What did Harry suspect Snape was trying to hide by keeping his thoughts in the Pensieve?,information about the Department of Mysteries
344,What was the exact heading of the examination paper that Snape was working on in his memory?,DEFENCE AGAINST THE DARK ARTS - ORDINARY WIZARDING LEVEL
345,What is the relationship between the girl with thick dark red hair and startlingly green eyes and Harry?,Harry's mother
346,Who did Harry blame for his argument with Cho?,Marietta
347,What specific items were used to decorate Harry's Easter egg from Mrs. Weasley?,"small, iced Snitches"
348,What item does Harry plan to use to gain access to Umbridge's office?,Sirius's knife
349,What minimum number of NEWTs and grade requirement does Professor McGonagall state are needed to become an Auror?,"five NEWTs, and nothing under 'Exceeds Expectations' grade"
350,Whom did Harry encounter in the kitchen fireplace at Grimmauld Place when he arrived via Floo powder?,Lupin
351,What was Filch searching for in Professor Umbridge's desk?,Approval for Whipping
352,What were the objects trailing one of Fred and George's broomsticks as they fled?,heavy chain and iron peg
353,Where did Harry claim Fred and George obtained the funds for their Diagon Alley premises?,Triwizard winnings
354,Why does Hagrid say he brought the crossbow on his trip into the forest?,a precaution
355,Why did Hagrid intervene to stop the centaurs according to his own words?,couldn't stand by an' watch 'em kill 'im
356,What was Grawp's height as mentioned by Hagrid when explaining why he was considered small for a giant?,sixteen foot
357,What name did Hagrid suggest Grawp use for Hermione?,Hermy
358,What specific accusation does the grey centaur make against Firenze?,entered into servitude to humans
359,What name does Grawp recognize Hermione by?,Hermy
360,Who does Draco Malfoy claim is the head of the Wizarding Examinations Authority?,Griselda Marchbanks
361,What form did Harry's Patronus take during the Defense Against the Dark Arts exam?,silver stag
362,What creature was placed in Umbridge's office according to Hermione's account?,Nifiler
363,Who sent a Stunning Spell at Hagrid as he ran toward the gates?,Umbridge
364,Why did the warlocks of Liechtenstein refuse to join the International Confederation of Wizards according to Harry's recollection?,because Bonaccord had wanted to stop troll-hunting and give trolls rights
365,In which specific location within the Department of Mysteries does Harry claim Sirius is being held by Voldemort?,at the end of row ninety-seven
366,What specific method did Hermione suggest to contact Sirius to verify his location before proceeding to the Department of Mysteries?,Umbridge's fire
367,What location did Harry specifically ask Kreacher if Sirius had gone to?,Department of Mysteries
368,Where was Harry's Firebolt according to Professor Umbridge?,under strict guard in the dungeons
369,What curse did Umbridge threaten to use on Harry to make him talk?,Cruciatus Curse
370,Where did Hermione indicate the weapon was hidden?,dark trees
371,Which centaur was referred to as a traitor by the other centaurs?,Firenze
372,What does Luna claim that Hagrid says about the creatures they see between the trees?,very good at finding places their riders are looking for
373,What does Hagrid use to attract Thestrals?,raw meat
374,What was the label on the topmost badge Harry examined in the telephone box?,"Harry Potter, Rescue Mission"
375,What did the brains in the green liquid look like when Harry examined them up close?,slimy cauliflowers
376,What was written on the label beneath the date on the glass orb that Harry examined?,S.P.T. to A.P.W.B.D. Dark Lord and (?)Harry Potter
377,"What spell did Harry cast to protect the prophecy when Bellatrix tried to steal it with ""Accio""?",Protego
378,Why couldn't Voldemort retrieve the prophecy himself according to Malfoy?,only those about whom it was made
379,What did Hermione exclaim upon witnessing the Death Eater's transformation in the bell jar?,It's Time
380,Which room are Harry and the others in when Luna is knocked unconscious?,Brain Room
381,What did Harry shout as a warning immediately before Ron touched the brain?,"RON, NO!"
382,"Which Death Eater did Harry defeat by shouting 'STUPEFY!' while being choked, whose mask revealed his identity as Buckbeak's would-be killer?",Macnair
383,In what manner did Sirius's body move as he fell through the veil?,curved in a graceful arc
384,What spell did Bellatrix cast to deflect Harry's Stunning Spell?,Protego
385,What did Fawkes swallow that was fired at Dumbledore?,the jet of green light
386,What object did Dumbledore use as a Portkey?,the golden head of the statue
387,What does Harry declare he no longer wants to be after throwing the silver instrument?,human
388,What did Dumbledore claim to observe stirring behind Harry's eyes during their close contact?,a shadow of him stir
389,"What did Dumbledore specifically mention as the reason he chose to leave Harry with the Dursleys, despite the difficult circumstances?",your mother died to save you
390,Why did Dumbledore describe the bond of blood as the strongest shield for Harry?,Your mother's sacrifice
391,Why did Voldemort choose Harry over Neville as the target of the prophecy?,He saw himself in you before he had ever seen you
392,What evasive title does Minister Fudge use when referring to the leader of the Dementors in his statement?,Lord - Thingy
393,What does Malfoy inform Harry about the Dementors at Azkaban?,The Dementors have left Azkaban
394,Who did Hagrid mention wanting to find a lady friend for?,Grawp
395,"According to Nearly Headless Nick, what will Sirius have done instead of returning as a ghost?",gone on
396,"What did Malfoy, Crabbe, and Goyle resemble after the DA members' attack on the Hogwarts Express?",three gigantic slugs
397,What material did Fred claim his new jacket was made of?,dragonskin
398,What did the villagers continue to call the house even after the Riddle family had moved out?,the Riddle House
399,"What event's completion must occur before the plan can proceed, as stated by the cold voice?",the Quidditch World Cup is over
400,What does the second voice claim will happen after one more death?,our path to Harry Potter is clear
401,What did Frank Bryce drop when he saw what was sitting in the chair?,walking stick
402,What type of birds delivered Sirius's letters to Harry?,"large, brightly colored tropical birds"
403,Who sent the letter that Uncle Vernon received about Harry?,Mrs. Weasley
404,What did Harry say 'the normal way' refers to?,owl post
405,What was the name of the tiny owl that delivered Ron's letter to Harry?,Pig
406,What did Uncle Vernon believe about the Weasleys' punctuality?," ""don't set much store by punctuality"""
407,What two items does Mr. Weasley collect?,plugs and batteries
408,What was the name of the invention Fred and George tested on the Muggle boy?,Ton-Tongue Toffee
409,What is the purpose of the report Percy is working on?,standardize cauldron thickness
410,What did Ron sarcastically suggest the top-secret event Percy mentioned could be?,exhibition of thick-bottomed cauldrons
411,"What happens to wizards who Apparate improperly, according to Mr. Weasley?",left half of themselves behind
412,What object did Amos Diggory hold that served as the Portkey?,a moldy-looking old boot
413,What unusual clothing combination did the wizard colleague wear?," ""kilt and a poncho"""
414,"How many people would the group become once Bill, Charlie, and Percy arrived?",a party of ten
415,What specific article of clothing was the old wizard wearing during his argument with the Ministry wizard?,a long flowery nightgown
416,What did the fake wand turn into when activated?,a rubber chicken
417,What was Winky wearing in the Top Box?,a tea towel draped like a toga
418,Why does Winky believe Dobby is unable to find another position?,wanting paying for his work
419,What did the shamrock in the Irish mascot's performance create that fell onto the crowd?,heavy gold coins
420,What words did the leprechauns form after Bulgaria's Keeper Zograf was penalized for a foul?,"HA, HA, HA!"
421,What did the Bulgarian Minister of Magic say in a gloomy voice after Bulgaria's loss?,"Vell, ve fought bravely"
422,What happened to Mrs. Roberts' nightdress when she was upside down?,fell down
423,"What offensive term did Draco Malfoy use to describe Hermione Granger, leading Ron to yell, 'You watch your mouth!'?",Mudblood
424,"What spell was cast to summon the green, glittering skull in the sky?",MORSMORDRE
425,Who recognized the wand that Mr. Diggory was holding as belonging to them?,Harry
426,What punishment did Mr. Crouch declare for Winky's disobedience?,clothes
427,What name did You-Know-Who's supporters use to identify themselves?,Death Eaters
428,What did the Ministry official allegedly claim after the appearance of the Dark Mark?,nobody had been hurt
429,What was Mundungus Fletcher actually using for shelter instead of the tent he claimed?,a cloak propped on sticks
430,What did Fred claim he and George were doing when questioned by Mrs. Weasley?,Homework
431,What did the dustbins do according to Mr. Diggory's description of the incident at Mad-Eye's house?,fired rubbish everywhere
432,"According to Hermione, where is Durmstrang's location thought to be?",the far north
433,What did Malfoy claim was the fashion era of Ron's dress robes?,eighteen ninety
434,Who questioned the absence of the new Defense Against the Dark Arts teacher during the feast?,Hermione
435,Who decided to allow the Sorting Hat to choose students' houses?,Gryffindor
436,What color was the unusual eye of the stranger introduced as Professor Moody?,electric blue
437,What caused the Triwizard Tournament to be discontinued after its initial establishment?,the death toll mounted so high
438,What substance did Professor Sprout say was collected from the Bubotubers and used as an excellent remedy for stubborn acne?,bubotuber pus
439,What was the name of the dragon Hagrid owned for a brief period during their first year?,Norbert
440,What planet did Professor Trelawney identify as the unaspected one in Lavender Brown's chart?,Uranus
441,What did Moody claim he was doing when Professor McGonagall confronted him about transforming Draco Malfoy into a ferret?,Teaching
442,Why did Moody agree to teach at Hogwarts for only one year?,Special favor to Dumbledore
443,"According to Moody, who is the only known person to have survived the Avada Kedavra curse demonstrated in class?",Harry
444,What does Hermione's acronym S.P.E.W. stand for as she explains it to Harry and Ron?,Society for the Promotion of Elfish Welfare
445,Why does Hermione want to get an elf into the Department for the Regulation and Control of Magical Creatures?,they're shockingly underrepresented
446,What did Mad-Eye Moody command Harry to do while under the Imperius Curse?,Jump onto the desk
447,What color and symbol were used for the Gryffindor banner in the Great Hall decorations?,red with a gold lion
448,What were pulling the carriage that approached Hogwarts to bring Madame Maxime?,winged horses
449,What specific drink did Madame Maxime stipulate that her horses required?,single-malt whiskey
450,"Which two officials filled the additional seats at the staff table next to Dumbledore's, prompting Filch to add four chairs?",Ludo Bagman and Mr. Crouch
451,What is the minimum age requirement to enter the Triwizard Tournament according to Dumbledore's Age Line?,seventeen
452,What physical characteristic did Fred and George develop immediately following their failed attempt to cross the Age Line?,sprouted identical long white beards
453,What did Hermione find in her beef casserole?,a large talon
454,What name did Dumbledore read from the Goblet of Fire for the Hogwarts champion before Harry Potter?,Cedric Diggory
455,What did Fleur Delacour call Bagman's announcement of Harry as a Triwizard champion?,a joke
456,When is the first task of the Triwizard Tournament scheduled to take place?,November the twenty-fourth
457,What did Harry say in response to the Fat Lady's question about who was chosen as the school champion?,Balderdash
458,What was Hermione carrying in a napkin when she approached Harry at the portrait hole?,a stack of toast
459,Which two Hufflepuff students laughed unpleasantly when a Bouncing Bulb hit Harry in the face?,Ernie Macmillan and Justin FinchFletchley
460,What message appeared on Malfoy's badge when pressed?,POTTER STINKS!
461,What type of quill did Rita Skeeter use to conduct her interview with Harry while asking about his participation in the Triwizard Tournament?,Quick-Quotes Quill
462,What term did Rita Skeeter use in her article to describe Dumbledore?,obsolete dingbat
463,Which individual did Rita Skeeter quote as stating that Harry is rarely seen without Hermione Granger?,Colin Creevey
464,What was the incorrect name Hermione first used for Viktor Krum's Quidditch move?,WonkyFaint
465,Who was the landlady of the pub where Hagrid and Moody were earlier?,Madam Rosmerta
466,Which type of dragon has bronze-colored spikes along its tail?,Hungarian Horntail
467,Why was Karkaroff released from Azkaban according to Sirius?,He did a deal with the Ministry of Magic
468,What did Hermione suggest replacing the dragon's fangs with using a Switching Spell?,wine-gums
469,What does Harry say when Moody asks him what he is best at?,I haven't got any
470,What spell did Harry need to master in order to summon his Firebolt?,Summoning Charm
471,What number was tied around the neck of the Hungarian Horntail model that Harry pulled out?,four
472,What spell did Harry shout to summon his Firebolt during the task?,Accio Firebolt!
473,What score did Ludo Bagman assign to Harry's performance in the dragon task?,ten
474,What noise filled the room the moment Harry opened the golden egg?,loud and screechy wailing
475,"Who had previously prohibited Rita Skeeter from entering the school, according to Hagrid's statement?",Dumbledore
476,What specific clothing was Winky wearing when she was introduced in the Hogwarts kitchen?,a neat little skirt and blouse with a matching blue hat
477,What does Winky claim about her payment from Professor Dumbledore?,not yet getting paid
478,What does Winky call Mr. Bagman?,a bad wizard
479,What famous musical group was booked for the Yule Ball by Dumbledore?,Weird Sisters
480,What subject was Professor Snape going to test the students on during the last lesson of the term?,poison antidotes
481,Who did Cho Chang tell Harry she was going to the ball with?,Cedric Diggory
482,Why did Hermione's parents not allow her to use magic on her teeth?,they're dentists
483,What was the original owner of the mustard yellow socks that Harry gave to Dobby?,Uncle Vernon
484,How was Hermione's hair styled when Harry first saw her at the event?,twisted up into an elegant knot at the back of her head
485,What was the name of Mr. Crouch's house-elf whose misbehavior caused him personal shock?,Blinky
486,What nickname does Ron use when referring to Viktor Krum?,Vicky
487,"What term did Hagrid claim both himself and Madame Maxime were, leading to her anger?",half-giant
488,What password did Cedric give Harry for the prefects' bathroom?,pine fresh
489,"What dangerous creatures did Hagrid admit to breeding, according to the article in the newspaper?",Blast-Ended Skrewts
490,What is the name of Hagrid's mother as revealed by the Daily Prophet?,Fridwulfa
491,What specific location did Bertha Jorkins visit where she met her second cousin before vanishing?,Albania
492,What was the name of Rita Skeeter's photographer?,Bozo
493,What excuse did Dumbledore provide for not hearing Harry's initial statement?,I have gone temporarily deaf
494,What password did Cedric tell Harry to use to enter the bathroom?,Pine fresh
495,Who was unexpectedly moving in Snape's office according to the Marauders Map?,Bartemius Crouch
496,What did Filch identify the golden egg as when he discovered it at the bottom of the staircase?,Triwizard clue
497,"What person did Harry identify, using the Marauders Map, as the one who broke into Snape's office?",Mr. Crouch
498,What career did Moody suggest Harry consider?,An Auror
499,What rule would Harry break if he summoned an Aqua-Lung from a Muggle town?,International Code of Wizarding Secrecy
500,What spell described in 'Weird Wizarding Dilemmas and Their Solutions' did Hermione find irrelevant and comical?,make their nose hair grow into ringlets
501,What will gillyweed enable Harry to do underwater?,breathe underwater
502,What appeared on the grindylows' skin when struck by Harry's spell?," ""angry red patches on their green skin"""
503,Why did Harry bring Fleur's sister to the surface?,Fleur didn't turn up
504,What creatures attacked Fleur as she approached her goal during the second task?,grindylows
505,Why did Hermione say she didn't immediately respond to Viktor Krum's invitation?,seeing whether you and Harry were okay
506,What clear potion does Snape show to Harry during their confrontation in the dungeon?,Veritaserum
507,"What was the black dog carrying in its mouth when first seen by Harry, Ron, and Hermione?",some newspapers
508,What position did Barty Crouch previously hold according to Sirius?,Head of the Department of Magical Law Enforcement
509,"What did Crouch allow his son to have before sending him to Azkaban, according to Sirius?",a trial
510,Who does Winky still believe is her master despite Dobby's assurance that Dumbledore is now her master?,Mr. Crouch
511,What does the house-elf say house-elves have no right to be when there is work and masters?,unhappy
512,Why are nifflers considered useful treasure detectors according to Hagrid?,like sparkly stuff
513,What did Ron wish he had?,a niffler
514,Where is the Triwizard Cup placed during the third task according to Bagman?,in the center of the maze
515,What did Mr. Crouch say the Dark Lord was becoming during his disoriented speech?,stronger
516,Who did Krum claim attacked him from behind?,the old madman
517,Why does Hermione suggest they see Professor Moody?,We need to find out whether he found Mr. Crouch
518,Why did Hermione suggest Mr. Crouch might have left the school grounds according to the excerpt?,The map shows invisible people
519,Who was Voldemort going to feed to the snake instead of Wormtail?,Harry Potter
520,What password successfully opened the gargoyle guarding Dumbledore's office when Harry tried it?,Cockroach Cluster
521,"What did Harry find when he looked up at the ceiling in the mysterious room, contrary to his expectation of seeing a circular window?","dark, solid stone"
522,Which individual did Dumbledore confirm was a former Death Eater turned spy for the good side?,Severus Snape
523,What did Mr. Crouch explicitly say to his son during their confrontation to reject parental ties?,You are no son of mine!
524,What does Dumbledore say one can do to examine their thoughts more effectively using the Pensieve?,spot patterns and links
525,Where are Neville's parents being kept according to Dumbledore?,St. Mungo's Hospital for Magical Maladies and Injuries
526,What spell did Hermione use to counteract Harry's Shield Charm?,Jelly-Legs Jinx
527,Which family was Harry worried might attend the Triwizard Tournament gathering?,the Dursleys
528,Which path did Harry choose when he and Cedric reached a fork in the maze?,left one
529,What curse did Krum cast on Cedric?,Crucio!
530,What creature does Harry name as the answer to the sphinx's riddle?,spider
531,Why did Cedric initially refuse to take the Triwizard Cup before Harry?,You told me about the dragons
532,What name was inscribed on the marble headstone to which Harry was bound?,TOM RIDDLE
533,What color did the potion turn after Harry's blood was added to the cauldron?,blinding white
534,What did Voldemort replace Wormtail's missing hand with?,silver hand
535,What term did Voldemort use to describe Harry's presence at his rebirthing party?,guest of honor
536,"What did Voldemort specifically require as the third ingredient for the potion that revived him, besides his servant's flesh and father's bone?",Harry Potters blood
537,What did Cedric Diggory's shade explicitly instruct Harry to do as it emerged from Voldemort's wand?,Hold on. Harry
538,What did the old man ask Voldemort upon emerging from the wand?,"He was a real wizard, then?"
539,Who admitted to placing Harry's name in the Goblet of Fire?,Moody
540,Who told Cedric Diggory to open the egg underwater?,I did
541,How did Barty Crouch Sr. subdue his son according to the imposter's statement?,The Imperius Curse
542,What was the lasting effect on Bertha Jorkins after Crouch Senior used a powerful Memory Charm on her?,damaged her memory permanently
543,What map did Barty Crouch Jr. take from Harry Potter?,Potter's map of Hogwarts
544,Why didn't Harry's and Voldemort's wands work properly against each other?,they share cores
545,What did the dementor do to Barty Crouch's soul?,sucked his soul out through his mouth
546,Why does Fudge defend Lucius Malfoy?,A very old family - donations to excellent causes -
547,What did Snape call the mark on his arm when he showed it to Fudge?,The Dark Mark
548,Who did Harry believe should have won the Triwizard Tournament instead of himself?,Cedric
549,What was Hagrid's secret task over the summer?,a little job fer me over the summer
550,What secret ability does Hermione claim Rita Skeeter possesses?,an unregistered Animagus
551,What charm did Hermione use to prevent the beetle from transforming?,Unbreakable Charm
552,What did Harry explicitly tell the twins to buy for Ron using the money?,different dress robes
